,,불만족(1+2),,보통(3),,만족(4+5)
구분1,구분2,2018,2019,2018,2019,2018,2019
"국가별","일본","2.57","2.84","17.94","21.49","79.49","75.68"
"국가별","중국","1.16","1.66","7.28","9.62","91.57","88.72"
"국가별","홍콩","2.02","1.02","12.09","10.17","85.89","88.81"
"국가별","싱가포르","0.48","0.71","7.56","9.91","91.96","89.38"
"국가별","대만","1.10","0.67","7.62","8.37","91.28","90.97"
"국가별","태국","2.07","0.81","11.57","6.67","86.36","92.53"
"국가별","말레이시아","1.82","1.12","8.43","9.23","89.75","89.65"
"국가별","호주","0.89","1.47","8.93","6.99","90.18","91.54"
"국가별","미국","2.89","2.32","7.90","10.04","89.20","87.64"
"국가별","캐나다","2.05","1.34","8.91","7.93","89.03","90.73"
"국가별","영국","3.36","4.54","7.72","7.93","88.92","87.53"
"국가별","독일","1.59","3.52","12.45","11.28","85.96","85.20"
"국가별","프랑스","2.57","2.99","7.84","8.39","89.59","88.62"
"국가별","러시아","0.57","1.15","10.02","6.54","89.41","92.31"
"국가별","중동","1.35","0.00","5.10","0.00","93.55","0.00"
"국가별","인도","2.36","3.23","4.67","5.91","92.97","90.85"
"국가별","필리핀","0.72","0.00","6.84","4.95","92.44","95.05"
"국가별","인도네시아","1.29","1.44","8.19","6.24","90.52","92.31"
"국가별","베트남","1.87","2.13","11.13","12.00","87.00","85.87"
"국가별","몽골","1.38","1.19","6.69","6.30","91.92","92.51"
"국가별","전체","1.77","1.87","10.32","11.58","87.92","86.55"
"국가별","기타","2.93","2.98","11.35","9.86","85.71","87.16"
"국가별","중동전체","0.00","3.31","0.00","7.16","0.00","89.54"
"국가별","중앙아시아","0.00","1.75","0.00","6.27","0.00","91.98"
"국가별","GCC","0.00","6.42","0.00","14.88","0.00","78.69"
"국가별","중동기타","0.00","5.69","0.00","4.31","0.00","90.00"
